WL #,May 31 - June 3,June 3 - 6,June 7-13,June 14-20,June 21-27,June 28-July 4,July 5-11,July 12-18,July 19-25,July 26-Aug 1,Aug 2-8,Aug 9-15
190,,,,"4PC,3PC",,"4PC,3PC",,,,"4PC,3PC",,
194,,,"6PC,6PC",,,,,,,,,
195,,,"4PC,5PC","4PC,5PC",,,,,,,,
196,,,"4PC,5PC","4PC,5PC",,,,,,,,
197,,,,"4PC,6PTS",,,,,,,,
199,,,,,,,,,"6PC,4PC","6PC,4PC",,
200,,,,,,,,,"5PC,6PC",,,
201,,,,"6PC,5PC",,,,,,"6PC,5PC","6PC,5PC",
207,,,,,,,,,"6PC,6PC",,"6PC,6PC","6PC,6PC"
208,,,,,,,,,"6PC,6PC",,,
214,,,,"4PC,4PC",,,,,,,,"4PC,4PC"
216,,,,,,,,,,,"4PC,6PC","4PC,6PC"
217,,,,,,,,,,"4PC,4PC","4PC,4PC","4PC,4PC"
220,,,,"6PTS,6PTS",,,,,,,,
221,,,,,,,,,"4PC,5PC","4PC,5PC",,
224,,,,,,,,"4PC,4PC",,,"4PC,4PC","4PC,4PC"
225,,,,,,,,,"4PC,5PC",,,
227,,,,,,,,,,"4PC,4PC","4PC,4PC","4PC,4PC"
228,,,,,,,,,"4PC,5PC","4PC,5PC","4PC,5PC",
229,,,,"4PC,4PC",,,,"4PC,4PC",,,,
230,,,,,,,,,,"6PC,4PC","6PC,4PC","6PC,4PC"
234,,,,,,,,"6PC,4PC","6PC,4PC","6PC,4PC",,
235,,,"6PC,5PC","6PC,5PC",,,,,,,,
236,,,,,,,,"4PC,6PC",,"4PC,6PC",,"4PC,6PC"
237,,,"4PC,5PC","4PC,5PC",,"4PC,5PC",,,,,,
240,,,,,,,,,"6PC,6PC","6PC,6PC",,
242,,,,"6PC,5PC",,,,,,,,
243,,,,,,,,,,"6PC,5PC","6PC,5PC","6PC,5PC"
244,,,,"6PC,5PC",,,,,,,,
245,,,,,,,,,,"4PC,6PC","4PC,6PC","4PC,6PC"
246,,,"4PC,6PC","4PC,6PC",,,,,,,,
249,,,,,,"6PC,5PC",,,,"6PC,5PC","6PC,5PC",
250,,,,,,,,,"4PC,5PC","4PC,5PC","4PC,5PC",
252,,,,,,,,,,,"4PC,6PC",
253,,,,,,,,"6PC,6PC","6PC,6PC","6PC,6PC",,
254,,,,,,,,,,"4PC,4PC","4PC,4PC","4PC,4PC"
256,,,"4PC,4PC","4PC,4PC",,,,,,,"4PC,4PC",
257,,,,,,,"6PC,4PC","6PC,4PC","6PC,4PC",,,
259,,,,,,"6PC,5PC","6PC,5PC","6PC,5PC",,,,
260,,,,,,"6PC,5PC","6PC,5PC","6PC,5PC",,,,
261,,,,,,"6PC,6PC",,,,"6PC,6PC","6PC,6PC",
263,,,,,,,,,,"4PC,6PC","4PC,6PC","4PC,6PC"
265,,,,,,,,,,,"4PC,6PC",
266,,,,,,,,,,,"3PC,4PC",
270,,,,,,,,"4PC,6PC",,,,"4PC,6PC"
273,,,,"3PC,4PC",,,,,,,"3PC,4PC",
274,,,,,,,,,"4PC,4PC","4PC,4PC","4PC,4PC",
275,,,"6PC,5PC",,,,,,,,,
276,,,,,,,,"6PC,5PC","6PC,5PC","6PC,5PC",,
278,,,,,,"5PC,6PC",,,,,,
279,,,,,,,,"6PC,6PC","6PC,6PC","6PC,6PC",,
280,,,,,,"4PC,5PC",,,"4PC,5PC","4PC,5PC",,
281,,,,,,,,,,,"4PC,3PC",
284,,,,,,,,"5PC,6PC","5PC,6PC","5PC,6PC",,
287,,,,"5PC,4PC",,,,,,,,
288,,,"6PC,4PC",,,"6PC,4PC",,,,,,
289,,,"4PC,6PC",,,,,"4PC,6PC","4PC,6PC",,,
290,,,"4PC,4PC",,,,,"4PC,4PC","4PC,4PC",,,
291,,,"5PC,4PC","5PC,4PC",,"5PC,4PC",,,,,,
292,,,,"4PC,4PC",,"4PC,4PC",,,,,,
293,,,,,,,,,,"3PC,4PC",,
294,,,"4PC,5PC","4PC,5PC",,,,,,,"4PC,5PC",
295,,,,,,,,"6PC,4PC",,,,
296,,,"4PC,6PC","4PC,6PC",,,,"4PC,6PC",,,,
297,,,,,,,,"5PC,4PC","5PC,4PC",,"5PC,4PC",
298,,,"6PC,6PC",,,"6PC,6PC","6PC,6PC",,,,,
299,,,"6PC,6PC","6PC,6PC",,"6PC,6PC",,,,,,
300,,,,"4PC,6PC",,,,,,,,
306,,,,,,,,,,,"4PC,4PC","4PC,4PC"
307,,,,,,,,"5PC,6PC","5PC,6PC",,"5PC,6PC",
308,,,,,,,,,,"4PC,5PC","4PC,5PC","4PC,5PC"
311,,,,,,,,"6PC,5PC","6PC,5PC","6PC,5PC",,
313,,,"5PC,4PC","5PC,4PC",,"5PC,4PC",,,,,,
319,,,,"6PC,4PC",,,,,,"6PC,4PC","6PC,4PC",
320,,,,"6PC,3PC",,,,,,,,
321,,,,,,,,,"4PC,4PC","4PC,4PC","4PC,4PC",
323,,,"6PC,4PC","6PC,4PC",,,,,,,,"6PC,4PC"
325,,,,,,"4PC,4PC",,,,,"4PC,4PC","4PC,4PC"
327,,,,"4PC,3PC",,,,,,,,
328,,,,,,,,,,"4PC,4PC","4PC,4PC","4PC,4PC"
331,,,,"3PC,3PC",,,,,,,,
332,,,,,,,"5PC,6PC","5PC,6PC",,,"5PC,6PC",
333,,,,,,,,,"4PC,5PC","4PC,5PC",,"4PC,5PC"
334,,,,,,,,"3PC,3PC","3PC,3PC","3PC,3PC",,
336,,,,,,"6PC,6PC",,,,"6PC,6PC","6PC,6PC",
337,,,"5PC,6PC",,,,,,,,,
338,,,,"4PC,5PC",,,,,,,,
339,,,,,,,,,"4PC,4PC","4PC,4PC","4PC,4PC",
340,,,,,,,,,"3PC,3PC",,,
342,,,"4PC,4PC","4PC,4PC",,,,,,,,
345,,,,,,,,,"4PC,4PC","4PC,4PC","4PC,4PC",
346,,,,,,,,,,"4PC,4PC","4PC,4PC","4PC,4PC"
347,,,"4PC,4PC",,,,,,,,"4PC,4PC","4PC,4PC"
348,,,,,,,,,"6PC,6PC","6PC,6PC","6PC,6PC",
349,,,,,,,,,"4PC,6PC","4PC,6PC","4PC,6PC",
351,,,"6PC,5PC","6PC,5PC",,,,,,,,
353,,,"4PC,4PC","4PC,4PC",,"4PC,4PC",,,,,,
354,,,"4PC,6PC",,,,,,,,"4PC,6PC","4PC,6PC"
356,,,,,,,"6PC,6PC","6PC,6PC",,,"6PC,6PC",
357,,,"4PC,5PC","4PC,5PC",,,,,,,,
358,,,,,,,,,"4PC,4PC",,,"4PC,4PC"
360,,,"4PC,4PC",,,,,,"4PC,4PC",,"4PC,4PC",
362,,,,,,,,,,"5PC,5PC","5PC,5PC","5PC,5PC"
363,,,,,,"3PC,6PC",,"3PC,6PC",,,"3PC,6PC",
365,,,,,,,"4PC,4PC","4PC,4PC","4PC,4PC",,,
366,,,,"5PC,6PC",,"5PC,6PC","5PC,6PC",,,,,
367,,,,,,,,"6PC,6PC","6PC,6PC","6PC,6PC",,
369,,,,,,,,,,"4PC,3PC","4PC,3PC","4PC,3PC"
370,,,,,,"5PC,5PC","5PC,5PC",,,,,
371,,,,"6PC,5PC",,,,,,,,
372,,,,,,,,"6PC,6PC","6PC,6PC","6PC,6PC",,
373,,,,"6PC,5PC",,,,,,,"6PC,5PC","6PC,5PC"
374,,,,,,,"4PC,4PC","4PC,4PC","4PC,4PC",,,
375,,,,"3PC,4PC",,,,,,,,
376,,,"6PC,4PC",,,"6PC,4PC",,,,,"6PC,4PC",
377,,,"6PC,6PC",,,,"6PC,6PC",,,,,
378,,,,,,,,,"5PC,6PC","5PC,6PC","5PC,6PC",
379,,,,"4PC,4PC",,,,"4PC,4PC",,,"4PC,4PC",
380,,,,"4PC,5PC",,,,,,,,
381,,,,,,,,,,,"5PC,4PC","5PC,4PC"
382,,,"4PC,4PC",,,,,,"4PC,4PC","4PC,4PC",,
383,,,,"6PC,6PC",,,,,,,,
386,,,,"6PC,4PC",,,"6PC,4PC","6PC,4PC",,,,
387,,,,,,,,,"5PC,4PC",,,
388,,,,,,,,"3PC,5PC",,,,
389,,,,"4PC,4PC",,,,,,,,
391,,,,,,,,"3PC,3PC","3PC,3PC","3PC,3PC",,
392,,,,,,,,,,"3PC,4PC","3PC,4PC","3PC,4PC"
393,,,,,,"6PC,6PC","6PC,6PC","6PC,6PC",,,,
394,,,,,,"6PC,4PC",,,,"6PC,4PC",,
395,,,,"4PC,6PC",,,,,,,,
396,,,,"4PC,5PC",,,,,,,,"4PC,5PC"
397,,,,,,,,,"6PC,6PC","6PC,6PC","6PC,6PC",
399,,,,,,"6PC,4PC","6PC,4PC",,,,,
400,,,"4PC,4PC","4PC,4PC",,,,,,,,
402,,,"6PC,5PC",,,"6PC,5PC","6PC,5PC",,,,,
404,,,,"5PC,4PC",,,,,"5PC,4PC",,"5PC,4PC",
405,,,,,,,,"4PC,5PC",,,,
406,,,"4PC,4PC",,,"4PC,4PC",,,,,,"4PC,4PC"
407,,,,"4PC,6PC",,"4PC,6PC","4PC,6PC",,,,,
408,,,,"6PC,3PC",,,,"6PC,3PC",,,,
409,,,"6PC,4PC","6PC,4PC",,"6PC,4PC",,,,,,
410,,,"4PC,3PC","4PC,3PC",,"4PC,3PC",,,,,,
411,,,,,,,"3PC,4PC","3PC,4PC","3PC,4PC",,,
414,,,,,,,,,"6PC,4PC",,,
415,,,,,,,,,,,,"3PC,6PC"
417,,,,,,,,,"6PC,6PC",,,
419,,,,,,,"4PC,6PC","4PC,6PC","4PC,6PC",,,
420,,,"6PC,5PC","6PC,5PC",,,"6PC,5PC",,,,,
421,,,,,,,,"3PC,3PC","3PC,3PC",,,
422,,,,,,,"5PC,6PC","5PC,6PC",,,"5PC,6PC",
425,,,,,,,,,,"6PC,6PC","6PC,6PC","6PC,6PC"
427,,,,,,,"6PC,5PC",,,"6PC,5PC",,
428,,,,"4PC,4PC",,,"4PC,4PC","4PC,4PC",,,,
429,,,"6PC,5PC",,,"6PC,5PC","6PC,5PC",,,,,
430,,,,,,,,,"6PC,6PC","6PC,6PC","6PC,6PC",
431,,,,"4PC,6PC",,"4PC,6PC","4PC,6PC",,,,,
433,,,,,,,"6PC,5PC",,,"6PC,5PC",,"6PC,5PC"
434,,,,,,,,,"6PC,5PC","6PC,5PC","6PC,5PC",
436,,,,,,,,,,,,"4PC,4PC"
437,,,"6PC,5PC",,,,,,,,,
438,,,,,,,,"6PC,5PC",,,"6PC,5PC","6PC,5PC"
439,,,,"6PC,4PC",,,,,,"6PC,4PC","6PC,4PC",
440,,,,,,,,,"4PC,4PC",,,
441,,,,,,"6PC,4PC","6PC,4PC",,,,,"6PC,4PC"
442,,,,,,,,,"6PC,6PC","6PC,6PC",,
443,,,"4PC,5PC","4PC,5PC",,,,,,,,
446,,,,,,"6PC,4PC",,,,"6PC,4PC","6PC,4PC",
447,,,,,,"6PC,3PC",,,,,,
448,,,,,,"6PC,6PC",,,"6PC,6PC","6PC,6PC",,
449,,,,,,,,,"4PC,5PC","4PC,5PC","4PC,5PC",
450,,,,"6PC,4PC",,"6PC,4PC",,,,,"6PC,4PC",
451,,,,,,,,,"4PC,3PC",,,
452,,,"5PC,4PC","5PC,4PC",,,,,,,"5PC,4PC",
453,,,,,,,"6PC,5PC","6PC,5PC","6PC,5PC",,,
454,,,,,,"5PC,5PC","5PC,5PC",,,,"5PC,5PC",
455,,,,"6PC,3PC",,,"6PC,3PC",,,,,
456,,,,,,,,,,,"3PC,4PC",
460,,,,,,,"3PC,3PC","3PC,3PC","3PC,3PC",,,
461,,,"6PC,5PC",,,,,,,,,"6PC,5PC"
462,,,,,,"5PC,6PC","5PC,6PC","5PC,6PC",,,,
463,,,,,,,,,"6PC,4PC","6PC,4PC","6PC,4PC",
464,,,,,,,,"3PC,4PC","3PC,4PC",,"3PC,4PC",
465,,,,,,"4PC,4PC",,,,"4PC,4PC","4PC,4PC",
466,,,"6PC,5PC","6PC,5PC",,"6PC,5PC",,,,,,
467,,,,,,,"4PC,6PC",,,"4PC,6PC","4PC,6PC",
468,,,,"4PC,4PC",,"4PC,4PC",,,,,,
469,,,,,,,,,,"4PC,4PC","4PC,4PC","4PC,4PC"
470,,,,,,"4PC,4PC",,,"4PC,4PC",,,"4PC,4PC"
471,,"3PC,4PC",,"3PC,4PC",,,,,,,,
472,,,"5PC,4PC","5PC,4PC",,,"5PC,4PC",,,,,
473,,,,,,"4PC,3PC","4PC,3PC",,,"4PC,3PC",,
474,,,,,,,,,"3PC,4PC",,,
475,,,"4PC,5PC",,,,,"4PC,5PC",,,"4PC,5PC",
476,,,"4PC,5PC","4PC,5PC",,,,,,,,"4PC,5PC"
477,,,,,,"3PC,4PC","3PC,4PC","3PC,4PC",,,,
478,,,,"3PC,4PC",,,,,,,,
479,,,,,,,,"3PC,6PC","3PC,6PC","3PC,6PC",,
480,,,,,,,,,"6PC,5PC","6PC,5PC","6PC,5PC",
481,,,"6PC,5PC",,,,,"6PC,5PC",,"6PC,5PC",,
482,,,,,,"3PC,4PC","3PC,4PC",,,,,
484,,,,,,,,,,"3PC,4PC","3PC,4PC","3PC,4PC"
485,,,"4PC,5PC",,,,,,,"4PC,5PC","4PC,5PC",
486,,,,,,,,,,"3PC,4PC",,
487,,,,,,,,,,"6PC,5PC",,
489,,,"4PC,6PC","4PC,6PC",,"4PC,6PC",,,,,,
490,,,,,,,,,,"6PC,6PC","6PC,6PC",
491,,,,,,,,,,"5PC,4PC",,
492,,,,,,,,,,,,"6PC,5PC"
493,,,,"3PC,3PC",,,,,,,,
495,,,,"6PC,5PC",,"6PC,5PC","6PC,5PC",,,,,
496,,,,"5PC,4PC",,"5PC,4PC","5PC,4PC",,,,,
499,,,,,,,,,,"4PC,3PC",,
501,,,,,,,,,"4PC,5PC",,,
502,,,,,,,"3PC,3PC",,,,,"3PC,3PC"
503,,,,,,,,,"5PC,6PC","5PC,6PC","5PC,6PC",
504,,,"4PC,6PC","4PC,6PC",,"4PC,6PC",,,,,,
505,,,,,,"4PC,5PC",,,,"4PC,5PC",,"4PC,5PC"
506,,,,,,,,,,,,"6PC,5PC"
507,,,,,,"6PC,5PC",,,,"6PC,5PC","6PC,5PC",
509,,,,,,,,,,,"4PC,6PC","4PC,6PC"
512,,,,,,,,,,"6PC,4PC","6PC,4PC","6PC,4PC"
514,,,"4PC,6PC",,,,,,,,,
515,,,,,,,"5PC,6PC","5PC,6PC",,"5PC,6PC",,
516,,,,"2PC,2PC",,,,,,,,
517,,,"6PC,5PC","6PC,5PC",,,,"6PC,5PC",,,,
518,,,,,,"4PC,5PC","4PC,5PC","4PC,5PC",,,,
519,,,,,,,,,,"6PC,6PC",,
520,,,,,,"6PC,5PC","6PC,5PC","6PC,5PC",,,,
521,,,,,,,,,,,"5PC,5PC","5PC,5PC"
523,,,,,,"5PC,6PC",,,,,"5PC,6PC","5PC,6PC"
524,,,,,,,,,,"4PC,6PC","4PC,6PC","4PC,6PC"
526,,,,,,,"3PC,4PC","3PC,4PC",,,"3PC,4PC",
527,,,,"4PC,4PC",,,,,,,"4PC,4PC","4PC,4PC"
528,,,,,,,,,"4PC,5PC","4PC,5PC",,
529,,,,,,,,,"4PC,4PC","4PC,4PC","4PC,4PC",
530,,,"2PC,2PC","2PC,2PC",,,,,,,,
532,,,,,,,"4PC,4PC","4PC,4PC","4PC,4PC",,,
533,,,,,,,,,"3PC,4PC","3PC,4PC","3PC,4PC",
534,,,,,,"6PC,4PC","6PC,4PC",,,,,
535,,,,,,,,,,"6PC,4PC","6PC,4PC","6PC,4PC"
537,,,,,,,,,,"5PC,6PC","5PC,6PC","5PC,6PC"
538,,,"6PC,5PC",,,,,,,,,
539,,,,,,,"4PC,5PC",,,,,
540,,,,,,,,"3PC,3PC","3PC,3PC","3PC,3PC",,
541,,,,"4PC,5PC",,"4PC,5PC","4PC,5PC",,,,,
542,,,,,,,,,,"4PC,6PC","4PC,6PC","4PC,6PC"
543,,,"6PC,6PC","6PC,6PC",,,,,,,,
544,,,,,,,"4PC,5PC","4PC,5PC",,"4PC,5PC",,
546,,,"4PC,6PC",,,"4PC,6PC",,"4PC,6PC",,,,
548,,,"4PC,4PC","4PC,4PC",,,,,,,"4PC,4PC",
549,,,"3PC,3PC","3PC,3PC",,,,"3PC,3PC",,,,
550,,,"6PC,4PC",,,,,,,,"6PC,4PC","6PC,4PC"
551,,,"6PC,4PC",,,,,"6PC,4PC","6PC,4PC",,,
552,,,,,,,,,"4PC,5PC",,"4PC,5PC","4PC,5PC"
553,,,,,,,,,,,"4PC,4PC","4PC,4PC"
554,,,,,,,,"4PC,4PC","4PC,4PC","4PC,4PC",,
555,,,,,,,,,,,"5PC,6PC","5PC,6PC"
556,,,"5PC,5PC",,,,,,,,,"5PC,5PC"
557,,,,,,,,,,,,"5PC,4PC"
559,,,"6PC,6PC",,,,,,,,,
560,,,,,,,,,"4PC,5PC","4PC,5PC","4PC,5PC",
561,,,,,,,"6PC,6PC","6PC,6PC","6PC,6PC",,,
562,,,"5PC,4PC","5PC,4PC",,,,,,"5PC,4PC",,
563,,,"5PC,4PC","5PC,4PC",,"5PC,4PC",,,,,,
565,,,,,,,,,,,"3PC,4PC","3PC,4PC"
566,,,,,,,,,"4PC,5PC","4PC,5PC","4PC,5PC",
567,,,,,,,"6PC,6PC","6PC,6PC","6PC,6PC",,,
568,,,"4PC,3PC","4PC,3PC",,"4PC,3PC",,,,,,
569,,,,,,"3PC,4PC","3PC,4PC","3PC,4PC",,,,
570,,,"4PC,3PC","4PC,3PC",,,,,,,,
571,,,"4PC,6PC","4PC,6PC",,"4PC,6PC",,,,,,
572,,,,,,,,,"4PC,4PC","4PC,4PC","4PC,4PC",
573,,,,,,"4PC,5PC",,,,"4PC,5PC","4PC,5PC",
576,,,"6PC,5PC",,,,,"6PC,5PC",,,"6PC,5PC",
577,,,,,,,,,"3PC,3PC","3PC,3PC",,
578,,,,"6PC,4PC",,"6PC,4PC","6PC,4PC",,,,,
580,,,,"4PC,6PC",,"4PC,6PC","4PC,6PC",,,,,
581,,,,,,,"3PC,4PC","3PC,4PC","3PC,4PC",,,
582,,,"5PC,6PC",,,,,"5PC,6PC",,"5PC,6PC",,
584,,,"4PC,5PC",,,,,,,,"4PC,5PC","4PC,5PC"
585,,,,,,,,,"6PC,5PC","6PC,5PC","6PC,5PC",
586,,,"4PC,4PC",,,,,,,,"4PC,4PC","4PC,4PC"
587,,,,,,,,,,,,"5PC,6PC"
588,,,"6PC,5PC","6PC,5PC",,,,,,,"6PC,5PC",
589,,,,,,"3PC,4PC","3PC,4PC",,,,,
590,,,"6PC,6PC",,,,,,,,,
591,,,,,,"6PC,4PC",,,,,"6PC,4PC","6PC,4PC"
592,,,,,,"3PC,4PC","3PC,4PC",,,,,
593,,,,,,"4PC,4PC",,"4PC,4PC",,,,
595,,,,,,,,,,"6PC,5PC","6PC,5PC","6PC,5PC"
596,,,,"6PC,6PC",,,,"6PC,6PC",,"6PC,6PC",,
597,,,,,,,,,,"6PC,5PC",,
598,,,,,,,,,"5PC,4PC","5PC,4PC",,
599,,,,,,,,,"6PC,5PC",,"6PC,5PC","6PC,5PC"
600,,,,,,"6PC,4PC",,,"6PC,4PC","6PC,4PC",,
601,,,,"4PC,6PC",,,,"4PC,6PC","4PC,6PC",,,
603,,,,,,"6PC,5PC","6PC,5PC",,,,"6PC,5PC",
605,,,,,,,"4PC,4PC","4PC,4PC","4PC,4PC",,,
607,,,,,,"5PC,4PC","5PC,4PC","5PC,4PC",,,,
608,,,,"4PC,6PC",,"4PC,6PC",,,"4PC,6PC",,,
610,,,"4PC,6PC","4PC,6PC",,"4PC,6PC",,,,,,
611,,,,,,"3PC,3PC",,,"3PC,3PC",,,"3PC,3PC"
612,,,"3PC,3PC","3PC,3PC",,,,"3PC,3PC",,,,
614,,,,,,,,,,"5PC,5PC","5PC,5PC",
615,,,,,,,,,"4PC,5PC","4PC,5PC","4PC,5PC",
616,,,"5PC,4PC","5PC,4PC",,"5PC,4PC",,,,,,
617,,,,,,,,,"4PC,5PC","4PC,5PC","4PC,5PC",
618,,,"6PC,6PC",,,,,,,,"6PC,6PC","6PC,6PC"
620,,,,,,,,"6PC,4PC","6PC,4PC","6PC,4PC",,
621,,,,,,,,,,,"4PC,4PC","4PC,4PC"
622,,,,,,,"4PC,5PC",,,,"4PC,5PC","4PC,5PC"
624,,,,,,,,,,,"5PC,4PC","5PC,4PC"
625,,,,,,,,,,"6PC,4PC","6PC,4PC","6PC,4PC"
626,,,"4PC,6PC",,,,,,,,,
627,,,,,,,,,,"5PC,6PC","5PC,6PC","5PC,6PC"
628,,,"4PC,4PC",,,"4PC,4PC","4PC,4PC",,,,,
629,,,,,,,,,,"3PC,6PC","3PC,6PC","3PC,6PC"
632,,,"5PC,6PC",,,,,,,"5PC,6PC","5PC,6PC",
634,,,,,,"6PC,4PC",,"6PC,4PC",,,"6PC,4PC",
636,,,,,,,"4PC,5PC",,,,,
637,,,,"6PC,5PC",,"6PC,5PC",,,,"6PC,5PC",,
638,,,,"6PC,5PC",,,"6PC,5PC",,"6PC,5PC",,,
639,,,,"3PC,4PC",,"3PC,4PC","3PC,4PC",,,,,
640,,,,"5PC,6PC",,,,,,,"5PC,6PC","5PC,6PC"
642,,,"6PC,6PC","6PC,6PC",,,,"6PC,6PC",,,,
643,,,,,,,,"4PC,6PC","4PC,6PC","4PC,6PC",,
644,,,"6PC,4PC",,,,,"6PC,4PC",,,"6PC,4PC",
646,,,,,,,"4PC,4PC","4PC,4PC","4PC,4PC",,,
648,,,,,,,,,,"4PC,6PC","4PC,6PC","4PC,6PC"
649,,,,"6PC,5PC",,"6PC,5PC",,,,,,"6PC,5PC"
650,,,,,,"6PC,5PC","6PC,5PC","6PC,5PC",,,,
651,,,"5PC,4PC","5PC,4PC",,"5PC,4PC",,,,,,
653,,,,,,"4PC,4PC","4PC,4PC",,,,"4PC,4PC",
654,,,,,,,,,,"5PC,6PC","5PC,6PC","5PC,6PC"
655,,,,,,,"5PC,5PC","5PC,5PC","5PC,5PC",,,
656,,,"4PC,6PC",,,,"4PC,6PC","4PC,6PC",,,,
657,,,"6PC,6PC","6PC,6PC",,,,,,,,
658,,,,,,,,,,"6PC,6PC","6PC,6PC","6PC,6PC"
659,,,"3PC,4PC","3PC,4PC",,,,,,,"3PC,4PC",
660,,,,,,,,"6PC,4PC","6PC,4PC","6PC,4PC",,
661,,,"4PC,4PC",,,,,,,,,"4PC,4PC"
662,,,"5PC,3PC","5PC,3PC",,"5PC,3PC",,,,,,
663,,,"4PC,6PC","4PC,6PC",,,,"4PC,6PC",,,,
664,,,,,,,,"5PC,4PC","5PC,4PC","5PC,4PC",,
665,,,,,,,,"2PC,4PC","2PC,4PC",,,
666,,,,,,,,,,"3PC,4PC","3PC,4PC",
667,,,,,,,,,,,"4PC,6PTS",
668,,,,,,,"4PC,3PC","4PC,3PC",,,"4PC,3PC",
669,,"2PC,2PC",,,,,,"2PC,2PC",,,,
670,,,,,,,,,,"6PC,4PC","6PC,4PC","6PC,4PC"
671,,,"3PC,4PC",,,,,,,,"3PC,4PC","3PC,4PC"
673,,,,"6PC,5PC",,,,"6PC,5PC","6PC,5PC",,,
674,,,,,,"4PC,5PC","4PC,5PC","4PC,5PC",,,,
676,,,,,,,"6PC,6PC","6PC,6PC","6PC,6PC",,,
677,,,,,,,,"5PC,4PC","5PC,4PC","5PC,4PC",,
678,,,"6PC,5PC",,,,,"6PC,5PC","6PC,5PC",,,
679,,,,,,,,,,"3PC,4PC","3PC,4PC","3PC,4PC"
680,,,,,,,,,"3PC,3PC","3PC,3PC","3PC,3PC",
681,,,,,,"6PTS,6PTS",,,,,,
683,,,,,,,,,"4PC,3PC",,"4PC,3PC","4PC,3PC"
684,,,,,,,"6PC,5PC","6PC,5PC","6PC,5PC",,,
685,,,,"6PTS,4PC",,,,,,,,
686,,,,,,,"6PC,6PC",,,,,
687,,,,,,,,,,"6PC,6PC",,"6PC,6PC"
688,,,,,,,,"4PC,4PC","4PC,4PC",,,
689,,,"3PC,3PC","3PC,3PC",,,,,,,"3PC,3PC",
690,,,"4PC,4PC","4PC,4PC",,,,,,,,"4PC,4PC"
691,,,,,,,,,,"6PC,5PC","6PC,5PC",
692,,,,,,,"4PC,5PC","4PC,5PC","4PC,5PC",,,
693,,,,"3PC,4PC",,,,,,,,"3PC,4PC"
694,,,,,,"6PC,5PC",,"6PC,5PC","6PC,5PC",,,
697,,,"3PC,6PTS",,,,,,,,,
699,,,,"4PC,5PC",,"4PC,5PC","4PC,5PC",,,,,
701,,,,,,,,,,,"3PC,4PC","3PC,4PC"
702,,,"5PC,4PC","5PC,4PC",,,"5PC,4PC",,,,,
704,,,,"6PC,5PC",,,,"6PC,5PC","6PC,5PC",,,
705,,,"6PC,5PC","6PC,5PC",,"6PC,5PC",,,,,,
706,,,,,,,,,,"6PC,4PC","6PC,4PC","6PC,4PC"
707,,,"3PC,6PC",,,,,,,"3PC,6PC","3PC,6PC",
708,,,"6PTS,3PC","6PTS,3PC",,"6PTS,3PC",,,,,,
710,,,,,,,,,,,"3PC,3PC","3PC,3PC"
711,,,,,,,,,,"4PC,3PC","4PC,3PC","4PC,3PC"
712,,,,,,,,,,,"4PC,4PC",
713,,,,,,"6PC,4PC","6PC,4PC",,,,,"6PC,4PC"
714,,,,,,,,,,"6PC,5PC","6PC,5PC","6PC,5PC"
716,,,,,,"4PC,5PC","4PC,5PC","4PC,5PC",,,,
717,,,,,,,"4PC,3PC","4PC,3PC",,"4PC,3PC",,
718,,,"6PTS,6PTS","6PTS,6PTS",,,,,,,,
719,,,"6PC,4PC","6PC,4PC",,,,,,,,
721,,,,,,,,"6PC,5PC","6PC,5PC",,,
